Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Broker_name	Bytes	cell	Center Name	common_name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Developmental_Stage	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	Experiment	external_id	individual	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	organism_part	Organism	Platform	ReleaseDate	create_date	version	Sample Name	Sample_name	single_cell_well_quality	SRA Study	Submitter_Id	treatment	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	Scientific_Name	phenotype	ENA_first_public	ENA_last_update	inferred_pseudo-time	INSDC_center_alias	Experimental_Factor:_1000 (exp)	Experimental_Factor:_1001 (exp)	Experimental_Factor:_1002 (exp)	Experimental_Factor:_1003 (exp)	Experimental_Factor:_1004 (exp)	Experimental_Factor:_1005 (exp)	Experimental_Factor:_1006 (exp)	Experimental_Factor:_1007 (exp)	Experimental_Factor:_1008 (exp)	Experimental_Factor:_1009 (exp)	Experimental_Factor:_100 (exp)	Experimental_Factor:_1010 (exp)	Experimental_Factor:_1011 (exp)	Experimental_Factor:_1012 (exp)	Experimental_Factor:_1013 (exp)	Experimental_Factor:_1014 (exp)	Experimental_Factor:_1015 (exp)	Experimental_Factor:_1016 (exp)	Experimental_Factor:_1017 (exp)	Experimental_Factor:_1018 (exp)	Experimental_Factor:_1019 (exp)	Experimental_Factor:_101 (exp)	Experimental_Factor:_1020 (exp)	Experimental_Factor:_1021 (exp)	Experimental_Factor:_1022 (exp)	Experimental_Factor:_1023 (exp)	Experimental_Factor:_1024 (exp)	Experimental_Factor:_1025 (exp)	Experimental_Factor:_1026 (exp)	Experimental_Factor:_1027 (exp)	Experimental_Factor:_1028 (exp)	Experimental_Factor:_1029 (exp)	Experimental_Factor:_102 (exp)	Experimental_Factor:_1030 (exp)	Experimental_Factor:_1031 (exp)	Experimental_Factor:_1032 (exp)	Experimental_Factor:_1033 (exp)	Experimental_Factor:_1034 (exp)	Experimental_Factor:_1035 (exp)	Experimental_Factor:_1036 (exp)	Experimental_Factor:_1037 (exp)	Experimental_Factor:_1038 (exp)	Experimental_Factor:_1039 (exp)	Experimental_Factor:_103 (exp)	Experimental_Factor:_1040 (exp)	Experimental_Factor:_1041 (exp)	Experimental_Factor:_1042 (exp)	Experimental_Factor:_1043 (exp)	Experimental_Factor:_1044 (exp)	Experimental_Factor:_1045 (exp)	Experimental_Factor:_1046 (exp)	Experimental_Factor:_1047 (exp)	Experimental_Factor:_1048 (exp)	Experimental_Factor:_1049 (exp)	Experimental_Factor:_104 (exp)	Experimental_Factor:_1050 (exp)	Experimental_Factor:_1051 (exp)	Experimental_Factor:_1052 (exp)	Experimental_Factor:_1053 (exp)	Experimental_Factor:_1054 (exp)	Experimental_Factor:_1055 (exp)	Experimental_Factor:_1056 (exp)	Experimental_Factor:_1057 (exp)	Experimental_Factor:_1058 (exp)	Experimental_Factor:_1059 (exp)	Experimental_Factor:_105 (exp)	Experimental_Factor:_1060 (exp)	Experimental_Factor:_1061 (exp)	Experimental_Factor:_1062 (exp)	Experimental_Factor:_1063 (exp)	Experimental_Factor:_1064 (exp)	Experimental_Factor:_1065 (exp)	Experimental_Factor:_1066 (exp)	Experimental_Factor:_1067 (exp)	Experimental_Factor:_1068 (exp)	Experimental_Factor:_1069 (exp)	Experimental_Factor:_106 (exp)	Experimental_Factor:_1070 (exp)	Experimental_Factor:_1071 (exp)	Experimental_Factor:_1072 (exp)	Experimental_Factor:_1073 (exp)	Experimental_Factor:_1074 (exp)	Experimental_Factor:_1075 (exp)	Experimental_Factor:_1076 (exp)	Experimental_Factor:_1077 (exp)	Experimental_Factor:_1078 (exp)	Experimental_Factor:_1079 (exp)	Experimental_Factor:_107 (exp)	Experimental_Factor:_1080 (exp)	Experimental_Factor:_1081 (exp)	Experimental_Factor:_1082 (exp)	Experimental_Factor:_1083 (exp)	Experimental_Factor:_1084 (exp)	Experimental_Factor:_1085 (exp)	Experimental_Factor:_1086 (exp)	Experimental_Factor:_1087 (exp)	Experimental_Factor:_1088 (exp)
ERR1041806	RNA-Seq	43	135990768	PRJEB11202	SAMEA3581177	ArrayExpress	136210037	404	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121288	SAMEA3581177	E5.37	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:35Z	public	Illumina HiSeq 2000	E5.37.3242	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:56:00Z	2	SAMEA3581177	E-MTAB-3929:E5.37.3242	OK	ERP012552	E-MTAB-3929:E5.37.3242	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:04:35Z	Homo sapiens																																																																																																						
ERR1041807	RNA-Seq	43	56701520	PRJEB11202	SAMEA3581178	ArrayExpress	57496303	405	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121289	SAMEA3581178	E5.37	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T08:10:59Z	public	Illumina HiSeq 2000	E5.37.3243	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:55:00Z	2	SAMEA3581178	E-MTAB-3929:E5.37.3243	OK	ERP012552	E-MTAB-3929:E5.37.3243	Immunosurgery	2016-04-06T17:01:26Z	2018-03-09T08:10:59Z	Homo sapiens																																																																																																						
ERR1041808	RNA-Seq	43	515821507	PRJEB11202	SAMEA3581179	ArrayExpress	521422710	406	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121290	SAMEA3581179	E5.37	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:55:26Z	public	Illumina HiSeq 2000	E5.37.3245	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T08:02:00Z	2	SAMEA3581179	E-MTAB-3929:E5.37.3245	OK	ERP012552	E-MTAB-3929:E5.37.3245	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:55:26Z	Homo sapiens																																																																																																						
ERR1041809	RNA-Seq	43	170688629	PRJEB11202	SAMEA3581180	ArrayExpress	168380627	407	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121291	SAMEA3581180	E5.37	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T08:10:59Z	public	Illumina HiSeq 2000	E5.37.3246	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:57:00Z	2	SAMEA3581180	E-MTAB-3929:E5.37.3246	OK	ERP012552	E-MTAB-3929:E5.37.3246	Immunosurgery	2016-04-06T17:01:26Z	2018-03-09T08:10:59Z	Homo sapiens																																																																																																						
ERR1041810	RNA-Seq	43	1379652420	PRJEB11202	SAMEA3581181	ArrayExpress	1213124036	408	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121292	SAMEA3581181	E5.37	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:35Z	public	Illumina HiSeq 2000	E5.37.3247	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-29T18:55:00Z	2	SAMEA3581181	E-MTAB-3929:E5.37.3247	OK	ERP012552	E-MTAB-3929:E5.37.3247	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:04:35Z	Homo sapiens																																																																																																						
ERR1041811	RNA-Seq	43	373190765	PRJEB11202	SAMEA3581182	ArrayExpress	362402219	409	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121293	SAMEA3581182	E5.37	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:35Z	public	Illumina HiSeq 2000	E5.37.3253	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-21T03:21:00Z	2	SAMEA3581182	E-MTAB-3929:E5.37.3253	OK	ERP012552	E-MTAB-3929:E5.37.3253	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:04:35Z	Homo sapiens																																																																																																						
ERR1041812	RNA-Seq	43	376686794	PRJEB11202	SAMEA3581183	ArrayExpress	364577061	410	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121294	SAMEA3581183	E5.38	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:55:26Z	public	Illumina HiSeq 2000	E5.38.3255	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-23T02:47:00Z	2	SAMEA3581183	E-MTAB-3929:E5.38.3255	OK	ERP012552	E-MTAB-3929:E5.38.3255	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:55:26Z	Homo sapiens																																																																																																						
ERR1041813	RNA-Seq	43	31153715	PRJEB11202	SAMEA3581184	ArrayExpress	31370327	411	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121295	SAMEA3581184	E5.38	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:36Z	public	Illumina HiSeq 2000	E5.38.3256	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:54:00Z	2	SAMEA3581184	E-MTAB-3929:E5.38.3256	OK	ERP012552	E-MTAB-3929:E5.38.3256	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:04:36Z	Homo sapiens																																																																																																						
ERR1041814	RNA-Seq	43	647716009	PRJEB11202	SAMEA3581185	ArrayExpress	609544398	412	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121296	SAMEA3581185	E5.39	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T08:10:59Z	public	Illumina HiSeq 2000	E5.39.3262	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:58:00Z	2	SAMEA3581185	E-MTAB-3929:E5.39.3262	OK	ERP012552	E-MTAB-3929:E5.39.3262	Immunosurgery	2016-04-06T17:01:26Z	2018-03-09T08:10:59Z	Homo sapiens																																																																																																						
ERR1041815	RNA-Seq	43	1791205549	PRJEB11202	SAMEA3581186	ArrayExpress	1528715042	413	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 5	06/04/2016	16/11/2018	ERX1121297	SAMEA3581186	E5.39	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:55:26Z	public	Illumina HiSeq 2000	E5.39.3263	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T08:05:00Z	2	SAMEA3581186	E-MTAB-3929:E5.39.3263	OK	ERP012552	E-MTAB-3929:E5.39.3263	Immunosurgery	2016-04-06T17:01:25Z	2018-03-09T05:55:26Z	Homo sapiens																																																																																																						
