Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Developmental_Stage	embryo_number	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	lineage	Organism	Platform	ReleaseDate	Sample Name	source_name	SRA Study	create_date	version
SRR1825958	RNA-Seq	100	3653099900	PRJNA277181	SAMN03387048	1581980896	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 3	SRX897159	GSM1624225	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624225	Human Embryo	SRP055810	2015-03-04T12:13:00Z	1
SRR1825959	RNA-Seq	100	1611243800	PRJNA277181	SAMN03387039	683846802	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 3	SRX897160	GSM1624226	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624226	Human Embryo	SRP055810	2015-03-04T12:04:00Z	1
SRR1825960	RNA-Seq	100	1644016400	PRJNA277181	SAMN03387047	689023775	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 3	SRX897161	GSM1624227	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624227	Human Embryo	SRP055810	2015-03-04T12:05:00Z	1
SRR1825961	RNA-Seq	100	1215410000	PRJNA277181	SAMN03387041	508308624	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 3	SRX897162	GSM1624228	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Epiblast	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624228	Human Embryo	SRP055810	2015-03-04T12:03:00Z	1
SRR1825962	RNA-Seq	100	6621460300	PRJNA277181	SAMN03387040	2826281956	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897163	GSM1624229	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624229	Human Embryo	SRP055810	2015-03-04T12:16:00Z	1
SRR1825963	RNA-Seq	100	1394391400	PRJNA277181	SAMN03387042	583929568	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897164	GSM1624230	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624230	Human Embryo	SRP055810	2015-03-04T12:07:00Z	1
SRR1825964	RNA-Seq	100	719267400	PRJNA277181	SAMN03387043	346440416	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897165	GSM1624231	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624231	Human Embryo	SRP055810	2015-03-04T12:03:00Z	1
SRR1825965	RNA-Seq	100	2459821400	PRJNA277181	SAMN03387050	1027467576	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897166	GSM1624232	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624232	Human Embryo	SRP055810	2015-03-04T12:12:00Z	1
SRR1825966	RNA-Seq	100	2362631700	PRJNA277181	SAMN03387046	972866122	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897167	GSM1624233	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624233	Human Embryo	SRP055810	2015-03-04T12:11:00Z	1
SRR1825967	RNA-Seq	100	748480700	PRJNA277181	SAMN03387051	364372639	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897168	GSM1624234	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624234	Human Embryo	SRP055810	2015-03-04T12:04:00Z	1
SRR1825968	RNA-Seq	100	2546998000	PRJNA277181	SAMN03387044	1046479551	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897169	GSM1624235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624235	Human Embryo	SRP055810	2015-03-04T12:10:00Z	1
SRR1825969	RNA-Seq	100	1334877400	PRJNA277181	SAMN03387045	551169102	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 8	SRX897170	GSM1624236	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624236	Human Embryo	SRP055810	2015-03-04T12:10:00Z	1
SRR1825970	RNA-Seq	100	1196854600	PRJNA277181	SAMN03387052	529565588	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 9	SRX897171	GSM1624237	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Trophectoderm	Homo sapiens	ILLUMINA	2015-08-26T00:00:00Z	GSM1624237	Human Embryo	SRP055810	2015-03-04T12:13:00Z	1
