Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Broker_name	Bytes	cell	Center Name	common_name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Developmental_Stage	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	Experiment	external_id	individual	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism_part	Organism	Platform	ReleaseDate	create_date	version	Sample Name	Sample_name	single_cell_well_quality	SRA Study	Submitter_Id	treatment	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	scientific_name	PHENOTYPE	ENA_first_public	ENA_last_update	inferred_pseudo-time	INSDC_center_alias	Experimental_Factor:_1000 (exp)	Experimental_Factor:_1001 (exp)	Experimental_Factor:_1002 (exp)	Experimental_Factor:_1003 (exp)	Experimental_Factor:_1004 (exp)	Experimental_Factor:_1005 (exp)	Experimental_Factor:_1006 (exp)	Experimental_Factor:_1007 (exp)	Experimental_Factor:_1008 (exp)	Experimental_Factor:_1009 (exp)	Experimental_Factor:_100 (exp)	Experimental_Factor:_1010 (exp)	Experimental_Factor:_1011 (exp)	Experimental_Factor:_1012 (exp)	Experimental_Factor:_1013 (exp)	Experimental_Factor:_1014 (exp)	Experimental_Factor:_1015 (exp)	Experimental_Factor:_1016 (exp)	Experimental_Factor:_1017 (exp)	Experimental_Factor:_1018 (exp)	Experimental_Factor:_1019 (exp)	Experimental_Factor:_101 (exp)	Experimental_Factor:_1020 (exp)	Experimental_Factor:_1021 (exp)	Experimental_Factor:_1022 (exp)	Experimental_Factor:_1023 (exp)	Experimental_Factor:_1024 (exp)	Experimental_Factor:_1025 (exp)	Experimental_Factor:_1026 (exp)	Experimental_Factor:_1027 (exp)	Experimental_Factor:_1028 (exp)	Experimental_Factor:_1029 (exp)	Experimental_Factor:_102 (exp)	Experimental_Factor:_1030 (exp)	Experimental_Factor:_1031 (exp)	Experimental_Factor:_1032 (exp)	Experimental_Factor:_1033 (exp)	Experimental_Factor:_1034 (exp)	Experimental_Factor:_1035 (exp)	Experimental_Factor:_1036 (exp)	Experimental_Factor:_1037 (exp)	Experimental_Factor:_1038 (exp)	Experimental_Factor:_1039 (exp)	Experimental_Factor:_103 (exp)	Experimental_Factor:_1040 (exp)	Experimental_Factor:_1041 (exp)	Experimental_Factor:_1042 (exp)	Experimental_Factor:_1043 (exp)	Experimental_Factor:_1044 (exp)	Experimental_Factor:_1045 (exp)	Experimental_Factor:_1046 (exp)	Experimental_Factor:_1047 (exp)	Experimental_Factor:_1048 (exp)	Experimental_Factor:_1049 (exp)	Experimental_Factor:_104 (exp)	Experimental_Factor:_1050 (exp)	Experimental_Factor:_1051 (exp)	Experimental_Factor:_1052 (exp)	Experimental_Factor:_1053 (exp)	Experimental_Factor:_1054 (exp)	Experimental_Factor:_1055 (exp)	Experimental_Factor:_1056 (exp)	Experimental_Factor:_1057 (exp)	Experimental_Factor:_1058 (exp)	Experimental_Factor:_1059 (exp)	Experimental_Factor:_105 (exp)	Experimental_Factor:_1060 (exp)	Experimental_Factor:_1061 (exp)	Experimental_Factor:_1062 (exp)	Experimental_Factor:_1063 (exp)	Experimental_Factor:_1064 (exp)	Experimental_Factor:_1065 (exp)	Experimental_Factor:_1066 (exp)	Experimental_Factor:_1067 (exp)	Experimental_Factor:_1068 (exp)	Experimental_Factor:_1069 (exp)	Experimental_Factor:_106 (exp)	Experimental_Factor:_1070 (exp)	Experimental_Factor:_1071 (exp)	Experimental_Factor:_1072 (exp)	Experimental_Factor:_1073 (exp)	Experimental_Factor:_1074 (exp)	Experimental_Factor:_1075 (exp)	Experimental_Factor:_1076 (exp)	Experimental_Factor:_1077 (exp)	Experimental_Factor:_1078 (exp)	Experimental_Factor:_1079 (exp)	Experimental_Factor:_107 (exp)	Experimental_Factor:_1080 (exp)	Experimental_Factor:_1081 (exp)	Experimental_Factor:_1082 (exp)	Experimental_Factor:_1083 (exp)	Experimental_Factor:_1084 (exp)	Experimental_Factor:_1085 (exp)	Experimental_Factor:_1086 (exp)	Experimental_Factor:_1087 (exp)	Experimental_Factor:_1088 (exp)
ERR1042103	RNA-Seq	43	82167152	PRJEB11202	SAMEA3581474	ArrayExpress	91348988	701	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121585	SAMEA3581474	E6.13	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T07:18:42Z	public	Illumina HiSeq 2000	E6.13.1400	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:59:00Z	2	SAMEA3581474	E-MTAB-3929:E6.13.1400	OK	ERP012552	E-MTAB-3929:E6.13.1400	No	2016-04-06T17:01:26Z	2018-03-09T07:18:42Z	Homo sapiens																																																																																																						
ERR1042104	RNA-Seq	43	230287532	PRJEB11202	SAMEA3581475	ArrayExpress	247940287	702	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121586	SAMEA3581475	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T07:18:42Z	public	Illumina HiSeq 2000	E6.14.1402	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-23T02:46:00Z	2	SAMEA3581475	E-MTAB-3929:E6.14.1402	OK	ERP012552	E-MTAB-3929:E6.14.1402	No	2016-04-06T17:01:26Z	2018-03-09T07:18:42Z	Homo sapiens																																																																																																						
ERR1042105	RNA-Seq	43	114515192	PRJEB11202	SAMEA3581476	ArrayExpress	127052104	703	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121587	SAMEA3581476	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T07:18:42Z	public	Illumina HiSeq 2000	E6.14.1403	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-16T18:20:00Z	2	SAMEA3581476	E-MTAB-3929:E6.14.1403	OK	ERP012552	E-MTAB-3929:E6.14.1403	No	2016-04-06T17:01:26Z	2018-03-09T07:18:42Z	Homo sapiens																																																																																																						
ERR1042106	RNA-Seq	43	212022766	PRJEB11202	SAMEA3581477	ArrayExpress	228375602	704	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121588	SAMEA3581477	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:38Z	public	Illumina HiSeq 2000	E6.14.1404	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:57:00Z	2	SAMEA3581477	E-MTAB-3929:E6.14.1404	OK	ERP012552	E-MTAB-3929:E6.14.1404	No	2016-04-06T17:01:25Z	2018-03-09T05:04:38Z	Homo sapiens																																																																																																						
ERR1042107	RNA-Seq	43	16603418	PRJEB11202	SAMEA3581478	ArrayExpress	19651000	705	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121589	SAMEA3581478	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:38Z	public	Illumina HiSeq 2000	E6.14.1405	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:56:00Z	2	SAMEA3581478	E-MTAB-3929:E6.14.1405	OK	ERP012552	E-MTAB-3929:E6.14.1405	No	2016-04-06T17:01:25Z	2018-03-09T05:04:38Z	Homo sapiens																																																																																																						
ERR1042108	RNA-Seq	43	206530505	PRJEB11202	SAMEA3581479	ArrayExpress	223477443	706	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121590	SAMEA3581479	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T08:07:09Z	public	Illumina HiSeq 2000	E6.14.1406	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T08:01:00Z	2	SAMEA3581479	E-MTAB-3929:E6.14.1406	OK	ERP012552	E-MTAB-3929:E6.14.1406	No	2016-04-06T17:01:26Z	2018-03-09T08:07:09Z	Homo sapiens																																																																																																						
ERR1042109	RNA-Seq	43	102940796	PRJEB11202	SAMEA3581480	ArrayExpress	113245396	707	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121591	SAMEA3581480	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:38Z	public	Illumina HiSeq 2000	E6.14.1407	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-16T21:43:00Z	2	SAMEA3581480	E-MTAB-3929:E6.14.1407	OK	ERP012552	E-MTAB-3929:E6.14.1407	No	2016-04-06T17:01:25Z	2018-03-09T05:04:38Z	Homo sapiens																																																																																																						
ERR1042110	RNA-Seq	43	197126620	PRJEB11202	SAMEA3581481	ArrayExpress	213432671	708	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121592	SAMEA3581481	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T08:07:09Z	public	Illumina HiSeq 2000	E6.14.1409	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:58:00Z	2	SAMEA3581481	E-MTAB-3929:E6.14.1409	OK	ERP012552	E-MTAB-3929:E6.14.1409	No	2016-04-06T17:01:26Z	2018-03-09T08:07:09Z	Homo sapiens																																																																																																						
ERR1042111	RNA-Seq	43	49590352	PRJEB11202	SAMEA3581482	ArrayExpress	58667054	709	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121593	SAMEA3581482	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T07:18:43Z	public	Illumina HiSeq 2000	E6.14.1410	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:57:00Z	2	SAMEA3581482	E-MTAB-3929:E6.14.1410	OK	ERP012552	E-MTAB-3929:E6.14.1410	No	2016-04-06T17:01:26Z	2018-03-09T07:18:43Z	Homo sapiens																																																																																																						
ERR1042112	RNA-Seq	43	74425561	PRJEB11202	SAMEA3581483	ArrayExpress	85672589	710	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121594	SAMEA3581483	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:25Z	2018-03-09T05:04:39Z	public	Illumina HiSeq 2000	E6.14.1411	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-25T03:02:00Z	2	SAMEA3581483	E-MTAB-3929:E6.14.1411	OK	ERP012552	E-MTAB-3929:E6.14.1411	No	2016-04-06T17:01:25Z	2018-03-09T05:04:39Z	Homo sapiens																																																																																																						
ERR1042113	RNA-Seq	43	143978061	PRJEB11202	SAMEA3581484	ArrayExpress	157910392	711	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121595	SAMEA3581484	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T07:18:43Z	public	Illumina HiSeq 2000	E6.14.1412	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2021-10-18T07:58:00Z	2	SAMEA3581484	E-MTAB-3929:E6.14.1412	OK	ERP012552	E-MTAB-3929:E6.14.1412	No	2016-04-06T17:01:26Z	2018-03-09T07:18:43Z	Homo sapiens																																																																																																						
ERR1042114	RNA-Seq	43	116246974	PRJEB11202	SAMEA3581485	ArrayExpress	128819340	712	Sophie Petropolous	human	public	"fastq,run.zq,sra"	"ena,gs,ncbi,s3"	"ena,gs.us-east1,ncbi.public,s3.us-east-1"	embryonic day 6	06/04/2016	16/11/2018	ERX1121596	SAMEA3581485	E6.14	"Department of Cell and Molecular Biology\, Karolinska Institutet"	2016-04-06T17:01:26Z	2018-03-09T07:18:43Z	public	Illumina HiSeq 2000	E6.14.1413	SINGLE	RANDOM	TRANSCRIPTOMIC	embryo	Homo sapiens	ILLUMINA	2016-04-09T00:00:00Z	2022-07-14T09:00:00Z	2	SAMEA3581485	E-MTAB-3929:E6.14.1413	OK	ERP012552	E-MTAB-3929:E6.14.1413	No	2016-04-06T17:01:26Z	2018-03-09T07:18:43Z	Homo sapiens																																																																																																						
